ID,DATE,DEXUSEU
849,2018-07-04,.
850,2018-07-05,1.1697
851,2018-07-06,1.1738
852,2018-07-09,1.1744
853,2018-07-10,1.1728
854,2018-07-11,1.1722
855,2018-07-12,1.1692
856,2018-07-13,1.1667
857,2018-07-16,1.171
858,2018-07-17,1.1664
859,2018-07-18,1.1645
860,2018-07-19,1.1604
861,2018-07-20,1.1708
862,2018-07-23,1.1702
863,2018-07-24,1.1684
864,2018-07-25,1.1677
865,2018-07-26,1.1654
866,2018-07-27,1.166
867,2018-07-30,1.1718
868,2018-07-31,1.1706
869,2018-08-01,1.1666
870,2018-08-02,1.1612
871,2018-08-03,1.1597
872,2018-08-06,1.1564
873,2018-08-07,1.1597
874,2018-08-08,1.1598
875,2018-08-09,1.1566
876,2018-08-10,1.1399
877,2018-08-13,1.1396
878,2018-08-14,1.1351
879,2018-08-15,1.1332
880,2018-08-16,1.1388
881,2018-08-17,1.141
882,2018-08-20,1.1438
883,2018-08-21,1.1534
884,2018-08-22,1.1595
885,2018-08-23,1.1567
886,2018-08-24,1.1625
887,2018-08-27,1.1676
888,2018-08-28,1.172
889,2018-08-29,1.1699
890,2018-08-30,1.1646
891,2018-08-31,1.1596
892,2018-09-03,.
893,2018-09-04,1.1566
894,2018-09-05,1.162
895,2018-09-06,1.1624
896,2018-09-07,1.1572
897,2018-09-10,1.1604
898,2018-09-11,1.1591
899,2018-09-12,1.1626
900,2018-09-13,1.1672
901,2018-09-14,1.1656
902,2018-09-17,1.1687
903,2018-09-18,1.1693
904,2018-09-19,1.1685
905,2018-09-20,1.1744
906,2018-09-21,1.1739
907,2018-09-24,1.1773
908,2018-09-25,1.177
909,2018-09-26,1.1758
910,2018-09-27,1.167
911,2018-09-28,1.1622
912,2018-10-01,1.1567
913,2018-10-02,1.156
914,2018-10-03,1.1525
915,2018-10-04,1.1508
916,2018-10-05,1.1502
917,2018-10-08,.
918,2018-10-09,1.1482
919,2018-10-10,1.1541
920,2018-10-11,1.1565
921,2018-10-12,1.1559
922,2018-10-15,1.1594
923,2018-10-16,1.1593
924,2018-10-17,1.154
925,2018-10-18,1.1494
926,2018-10-19,1.1513
927,2018-10-22,1.1467
928,2018-10-23,1.148
929,2018-10-24,1.1389
930,2018-10-25,1.1374
931,2018-10-26,1.1388
932,2018-10-29,1.139
933,2018-10-30,1.1364
934,2018-10-31,1.1332
935,2018-11-01,1.1396
936,2018-11-02,1.1378
937,2018-11-05,1.1394
938,2018-11-06,1.1412
939,2018-11-07,1.1459
940,2018-11-08,1.1416
941,2018-11-09,1.1325
942,2018-11-12,.
943,2018-11-13,1.1288
944,2018-11-14,1.1312
945,2018-11-15,1.1324
946,2018-11-16,1.1402
947,2018-11-19,1.1448
948,2018-11-20,1.1391
949,2018-11-21,1.1393
950,2018-11-22,.
951,2018-11-23,1.1332
952,2018-11-26,1.1336
953,2018-11-27,1.1281
954,2018-11-28,1.1286
955,2018-11-29,1.1382
956,2018-11-30,1.1323
957,2018-12-03,1.1356
958,2018-12-04,1.1345
959,2018-12-05,.
960,2018-12-06,1.1374
961,2018-12-07,1.139
962,2018-12-10,1.1368
963,2018-12-11,1.1314
964,2018-12-12,1.1362
965,2018-12-13,1.1358
966,2018-12-14,1.13
967,2018-12-17,1.1339
968,2018-12-18,1.1364
969,2018-12-19,1.1422
970,2018-12-20,1.1432
971,2018-12-21,1.1402
972,2018-12-24,.
973,2018-12-25,.
974,2018-12-26,1.1408
975,2018-12-27,1.1412
976,2018-12-28,1.1445
977,2018-12-31,1.1456
978,2019-01-01,.
979,2019-01-02,1.1357
980,2019-01-03,1.1399
981,2019-01-04,1.141
982,2019-01-07,1.1468
983,2019-01-08,1.1444
984,2019-01-09,1.1524
985,2019-01-10,1.1517
986,2019-01-11,1.1479
987,2019-01-14,.
988,2019-01-15,1.1392
989,2019-01-16,1.1408
990,2019-01-17,1.1386
991,2019-01-18,1.1362
992,2019-01-21,.
993,2019-01-22,1.1359
994,2019-01-23,1.139
995,2019-01-24,1.1322
996,2019-01-25,1.1407
997,2019-01-28,1.1438
998,2019-01-29,1.1424
999,2019-01-30,1.1418
1000,2019-01-31,1.1454
1001,2019-02-01,1.1474
1002,2019-02-04,1.1438
1003,2019-02-05,1.1406
1004,2019-02-06,1.138
